what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.ecore,2.10.1.v20140901-1043,"org.eclipse.emf.ecore",1645689022846
started,bundle,org.eclipse.emf.ecore.xmi,2.10.1.v20140901-1043,"org.eclipse.emf.ecore.xmi",1645689022847
started,bundle,org.eclipse.emf.edit,2.10.1.v20141013-0308,"org.eclipse.emf.edit",1645689022847
started,bundle,org.eclipse.emf.edit.ui,2.10.1.v20141013-0308,"org.eclipse.emf.edit.ui",1645689022848
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1645689022848
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1645689022849
started,bundle,com.collabnet.subversion.merge,4.1.0,"com.collabnet.subversion.merge",1645689022849
started,bundle,org.tigris.subversion.clientadapter,1.10.3,"org.tigris.subversion.clientadapter",1645689022849
started,bundle,org.tigris.subversion.subclipse.core,1.10.12,"org.tigris.subversion.subclipse.core",1645689022849
started,bundle,org.tigris.subversion.subclipse.ui,1.10.13,"org.tigris.subversion.subclipse.ui",1645689022850
started,bundle,net.sf.jasperreports,5.0.4,"net.sf.jasperreports",1645689022851
started,bundle,org.eclipse.m2e.logback.configuration,1.4.1.20140328-1905,"org.eclipse.m2e.logback.configuration",1645689022851
os,sysinfo,,,"win32",1645689022853
arch,sysinfo,,,"x86",1645689022853
ws,sysinfo,,,"win32",1645689022853
locale,sysinfo,,,"en_ID",1645689022853
processors,sysinfo,,,"4",1645689022853
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1645689022853
java.runtime.version,sysinfo,,,"1.8.0_181-b13",1645689022853
java.specification.name,sysinfo,,,"Java Platform API Specification",1645689022853
java.specification.vendor,sysinfo,,,"Oracle Corporation",1645689022853
java.specification.version,sysinfo,,,"1.8",1645689022853
java.vendor,sysinfo,,,"Oracle Corporation",1645689022853
java.version,sysinfo,,,"1.8.0_181",1645689022853
java.vm.info,sysinfo,,,"mixed mode",1645689022853
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1645689022853
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1645689022853
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1645689022853
java.vm.specification.version,sysinfo,,,"1.8",1645689022853
java.vm.vendor,sysinfo,,,"Oracle Corporation",1645689022853
java.vm.version,sysinfo,,,"25.181-b13",1645689022853
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1645689022888
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1645689026303
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1645689029081
started,bundle,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets",1645689031365
started,bundle,org.eclipse.gef,3.7.2.v20111106-2020,"org.eclipse.gef",1645689031382
started,bundle,org.eclipse.draw2d,3.7.2.v20111017-2020,"org.eclipse.draw2d",1645689031407
opened,view,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1645689031611
activated,view,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1645689031650
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1645689036799
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1645689038559
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1645689038791
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1645689039223
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1645689039223
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1645689039224
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1645689039225
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1645689039225
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1645689039226
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1645689039226
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1645689039227
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1645689039228
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1645689039228
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1645689061987
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1645689061989
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1645689061989
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1645689061990
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1645689061991
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1645689061991
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1645689061992
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1645689061993
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1645689061994
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1645689061994
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1645689061995
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1645689061996
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1645689061997
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1645689061998
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1645689061998
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1645689061999
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1645689062000
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1645689062000
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1645689062001
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1645689062001
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1645689062002
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1645689062002
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1645689062002
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1645689062003
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1645689062003
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1645689062004
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1645689062004
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1645689062005
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1645689062005
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1645689062006
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1645689062006
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1645689062007
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1645689062007
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1645689062008
started,bundle,org.eclipse.equinox.preferences,3.4.1.R37x_v20110725,"org.eclipse.equinox.preferences",1645689062008
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1645689062009
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1645689062009
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1645689062010
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1645689062011
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1645689062012
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1645689062012
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1645689062014
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1645689062015
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1645689062016
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1645689062017
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1645689062017
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1645689062018
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1645689062019
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1645689062019
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1645689062020
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1645689062021
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1645689062022
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1645689062022
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1645689062023
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1645689062024
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1645689062024
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1645689062025
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1645689062025
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1645689062026
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1645689062027
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1645689062027
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1645689062028
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1645689062029
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1645689062029
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1645689062030
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1645689062032
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1645689062032
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1645689062033
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1645689062033
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1645689062033
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1645689062034
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1645689062035
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1645689062035
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1645689062036
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1645689062036
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1645689062037
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1645689062037
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1645689062038
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1645689062039
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1645689062039
started,bundle,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets",1645689062040
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1645689062041
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1645689062041
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1645689062041
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1645689062042
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1645689062042
started,bundle,eclipseme.core,1.7.9,"eclipseme.core",1645689062043
started,bundle,eclipseme.core.hooks,1.6.5,"eclipseme.core.hooks",1645689062044
started,bundle,eclipseme.ui,1.7.8,"eclipseme.ui",1645689062045
started,bundle,org.eclipse.wb.discovery.core,1.5.1.r42x201209181202,"org.eclipse.wb.discovery.core",1645689062045
started,bundle,org.eclipse.wb.discovery.ui,1.5.1.r42x201209181202,"org.eclipse.wb.discovery.ui",1645689062046
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1645689062046
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1645689062047
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1645689062048
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1645689062049
started,bundle,com.objectaid.uml,1.1.7,"com.objectaid.uml",1645689062049
started,bundle,de.itemis.xtext.utils.jface,1.0.0.201205141449,"de.itemis.xtext.utils.jface",1645689062049
started,bundle,net.sf.eclipsensis.startup,0.9.8.1,"net.sf.eclipsensis.startup",1645689062049
started,bundle,net.sf.eclipsensis.update,0.9.8.1,"net.sf.eclipsensis.update",1645689062050
started,bundle,org.eclipse.draw2d,3.7.2.v20111017-2020,"org.eclipse.draw2d",1645689062051
started,bundle,org.eclipse.emf.common,2.10.1.v20140901-1043,"org.eclipse.emf.common",1645689062051
started,bundle,org.eclipse.emf.common.ui,2.9.0.v20141013-0308,"org.eclipse.emf.common.ui",1645689062052
started,bundle,org.eclipse.emf.ecore,2.10.1.v20140901-1043,"org.eclipse.emf.ecore",1645689062053
started,bundle,org.eclipse.emf.ecore.xmi,2.10.1.v20140901-1043,"org.eclipse.emf.ecore.xmi",1645689062067
started,bundle,org.eclipse.emf.edit,2.10.1.v20141013-0308,"org.eclipse.emf.edit",1645689062068
started,bundle,org.eclipse.emf.edit.ui,2.10.1.v20141013-0308,"org.eclipse.emf.edit.ui",1645689062068
started,bundle,org.eclipse.gef,3.7.2.v20111106-2020,"org.eclipse.gef",1645689062069
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1645689062069
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1645689062070
started,bundle,com.collabnet.subversion.merge,4.1.0,"com.collabnet.subversion.merge",1645689062070
started,bundle,org.tigris.subversion.clientadapter,1.10.3,"org.tigris.subversion.clientadapter",1645689062071
started,bundle,org.tigris.subversion.subclipse.core,1.10.12,"org.tigris.subversion.subclipse.core",1645689062072
started,bundle,org.tigris.subversion.subclipse.ui,1.10.13,"org.tigris.subversion.subclipse.ui",1645689062073
started,bundle,net.sf.jasperreports,5.0.4,"net.sf.jasperreports",1645689062074
started,bundle,org.eclipse.m2e.logback.configuration,1.4.1.20140328-1905,"org.eclipse.m2e.logback.configuration",1645689062074
os,sysinfo,,,"win32",1645689062077
arch,sysinfo,,,"x86",1645689062077
ws,sysinfo,,,"win32",1645689062077
locale,sysinfo,,,"en_ID",1645689062077
processors,sysinfo,,,"4",1645689062077
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1645689062077
java.runtime.version,sysinfo,,,"1.8.0_181-b13",1645689062077
java.specification.name,sysinfo,,,"Java Platform API Specification",1645689062077
java.specification.vendor,sysinfo,,,"Oracle Corporation",1645689062077
java.specification.version,sysinfo,,,"1.8",1645689062077
java.vendor,sysinfo,,,"Oracle Corporation",1645689062077
java.version,sysinfo,,,"1.8.0_181",1645689062077
java.vm.info,sysinfo,,,"mixed mode",1645689062077
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1645689062077
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1645689062077
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1645689062077
java.vm.specification.version,sysinfo,,,"1.8",1645689062077
java.vm.vendor,sysinfo,,,"Oracle Corporation",1645689062077
java.vm.version,sysinfo,,,"25.181-b13",1645689062077
activated,view,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1645689079759
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1645689081247
started,bundle,org.eclipse.datatools.connectivity,1.2.3.v201108101135,"org.eclipse.datatools.connectivity",1645689082533
started,bundle,org.eclipse.datatools.connectivity.ui,1.2.1.v201010211430,"org.eclipse.datatools.connectivity.ui",1645689082538
started,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.ui.dse",1645689082539
started,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v201105270214,"org.eclipse.datatools.enablement.ingres.ui",1645689082589
started,bundle,org.eclipse.birt.report.data.oda.jdbc.dbprofile.sampledb,3.7.1.v20110905,"org.eclipse.birt.report.data.oda.jdbc.dbprofile.sampledb",1645689082602
started,bundle,org.eclipse.datatools.connectivity.apache.derby,1.0.102.v201107130538,"org.eclipse.datatools.connectivity.apache.derby",1645689082683
started,bundle,org.eclipse.datatools.enablement.msft.sqlserver,1.0.1.v201001180222,"org.eclipse.datatools.enablement.msft.sqlserver",1645689082862
started,bundle,org.eclipse.datatools.enablement.sqlite,1.0.0.v201002041100,"org.eclipse.datatools.enablement.sqlite",1645689082871
started,bundle,org.eclipse.datatools.enablement.sybase.asa,1.0.1.v200906020900,"org.eclipse.datatools.enablement.sybase.asa",1645689082878
started,bundle,org.eclipse.datatools.enablement.sybase.ase,1.0.1.v200906020900,"org.eclipse.datatools.enablement.sybase.ase",1645689082880
started,bundle,org.eclipse.datatools.connectivity.sqm.core,1.2.3.v201109022323,"org.eclipse.datatools.connectivity.sqm.core",1645689083105
started,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.2.0.v201002281800,"org.eclipse.datatools.connectivity.sqm.core.ui",1645689083109
started,bundle,org.eclipse.datatools.connectivity.sqm.server.ui,1.1.100.v201009280455,"org.eclipse.datatools.connectivity.sqm.server.ui",1645689083127
started,bundle,org.eclipse.datatools.enablement.ingres,1.0.0.v200906111150,"org.eclipse.datatools.enablement.ingres",1645689083140
started,bundle,org.eclipse.datatools.enablement.sybase,1.0.1.v200906020900,"org.eclipse.datatools.enablement.sybase",1645689083141
started,bundle,org.eclipse.datatools.modelbase.sql,1.0.4.v201002250945,"org.eclipse.datatools.modelbase.sql",1645689083202
opened,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1645689083349
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1645689083420
opened,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1645689089772
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1645689089814
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.AllMarkersView",1645689091135
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.AllMarkersView",1645689091169
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1645689092570
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1645689092582
opened,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1645689092658
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1645689092686
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1645689092834
activated,view,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1645689094295
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1645689096543
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1645689101058
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1645689102842
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1645689103058
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1645689103511
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1645689103512
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1645689103512
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1645689103513
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1645689103514
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1645689103514
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1645689103515
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1645689103516
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1645689103516
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1645689103517
